value,wd
John Brew,Q95969402
Kaye Basford,Q43498974
Marcello Costa,Q61809995
Georgina Long,Q42947998
Sarah Medland,Q37375476
John Vogels,Q6262060
Denis Napthine,Q5257422
Philip Ruddock,Q3379071
Alan Ferguson,Q4706609
Bronwyn Bishop,Q4974135
Tony Windsor,Q7823688
Mike Baird,Q6845925
Paul Zammit,Q7154532
Noel Padgham-Purich,Q7047152
Susan Neuhaus,Q26704358
Tony Abbott,Q348577
Marcus Westbury,Q6758529
Yvonne Audette,Q17318570
Vincent Namatjira,Q89697567
Tjunkaya Tapaya,Q12859981
Lyn Breuer,Q6708303
Belinda Hutchinson,Q23771328
Scott Pape,Q7437003
Herb Wharton,Q5733241
Mark Opitz,Q6769115
David McKenzie (Victorian politician),Q5237397
Marcia Langton,Q3289980
Stefan Ackerie,Q7606009
Perry Crosswhite,Q3900084
Perry Bartlett,Q56815961
Glenn Bourke,Q76841327
Michael Clarke (cricketer),Q1428440
Tashi Tsering (Chenrezig Institute),Q7687202
Cathy Foley,Q18686163
Caroline McMillen,Q59578575
Tamara Davis,Q23696661
Simon Stuart,Q96148955
Jonathan Mead,Q77093205
Kate Lamont,Q6375587
Rhondda Jones,Q7321393
Simon Gipson,Q7518847
Aaron Kearney,Q4662139
Susan Kenny,Q16730730
Sean Dorney,Q56249737
Jan Sardi,Q3161747
Bruce Chapman (Australian economist),Q20011413
Liz Constable,Q6660082
Martin Tenni,Q16095896
Alan Eggleston,Q4706579
Judyth Watson,Q14954682
Alison Harcourt,Q57079384
Marita Cheng,Q6765739
Maree Smith,Q24851696
Michelle Simmons,Q16885683
Frances Separovic,Q18166645
Linda Richards (neuroscientist),Q19877853
Leo Radom,Q6524158
Luc Longley,Q705993
Kate Palmer,Q6375711
Adrian David Cheok,Q4684966
Michael Davis (Australian lawyer),Q64623642
Martin Bowles,Q6775037
Derek Byerlee,Q64620762
Brenda Wilson,Q18166244
Lex Doyle,Q37838595
Monika Schmidt,Q43378568
Annabelle Bennett,Q4767710
Reginald Barrett,Q7308759
Debra Mullins,Q16732990
John Finnis,Q3312283
Ruth Bishop,Q5397741
Andrew Biankin,Q38802580
Alan Cowman,Q21165015
David Burke (neurophysiologist),Q64518460
Jayashri Kulkarni,Q61741188
Ruth McNair,Q28925005
Rachael Kohn,Q7279079
Leigh Sales,Q6519670
Debra Jackson (nurse),Q39818657
Dave Nilsson,Q3018541
Frank Sedgman,Q962049
Jan Cameron (coach),Q3807042
Don Tregonning,Q25755189
Elizabeth Chong,Q5362577
Adrienne Cahalan,Q4685686
Dennis Meredith,Q5258732
Deborah Lawrie,Q5248305
Kevin Rudd,Q43135
Jake Ellwood,Q76708273
Robert Gillies (Australian politician),Q7344780
Frank Fisher (rugby league),Q5486623
Jessica Smith (swimmer),Q86927470
Eric Bana,Q4440
George Mye,Q52636191
Darren Hayes,Q527055
Carrie Bickmore,Q4086613
Guy Sebastian,Q983452
David Campbell (singer),Q5232113
Hugh Jackman,Q129591
Meryl Tankard,Q6820995
Li Cunxin,Q712579
Cassandra Kelly,Q21932435
Kathryn Fagg,Q53568318
Nan Bosler,Q83100565
Margaret Jackson,Q6759554
Sarah-Jane Clarke,Q62003665
John Tierney (Australian politician),Q6260826
Natasha Stott Despoja,Q6968504
John Cornwall (South Australian politician),Q6227168
John E. Scanlon,Q21175237
J. Bruce Jacobs,Q76577662
Josephine Flood,Q17523828
Rae Cooper,Q64665944
Graeme Turner,Q5592411
Peter Rathjen,Q7176537
Katherine Belov,Q21463152
Faith Thomas,Q5431233
Ricky Grace,Q645067
Tilman Ruff,Q21063268
"Elizabeth North, South Australia",Q5363269
Marie Porter,Q54941473
Virginia Spate,Q54906851
Tom Gleisner,Q7815955
John Goss (racing driver),Q6235843
Joanne Broadbent,Q6206077
Christobel Saunders,Q21063295
Rose Amal,Q25513876
Kate Grenville,Q2919671
Robyn Guymer,Q56440759
Jill Bilcock,Q280870
Michael Noonan (admiral),Q16733451
Paul McLachlan,Q23771352
Goff Letts,Q5577247
Helen Brownlee,Q62007080
John Cuneo (sailor),Q6227867
Geoffrey Harcourt,Q1502988
John Kerin,Q1700698
Robert Gottliebsen,Q7344883
Philip Brady (broadcaster),Q7183266
Christian Zahra,Q5110292
Lee Tarlamis,Q373488
David Walker (historian),Q5240784
Barbara G. Briggs,Q2356897
Linda Jackson (designer),Q6551674
Arman Abrahimzadeh,Q48472257
Robert Murray Smith,Q16037897
David Smith (Western Australian politician),Q25184192
Ian Smith (lobbyist),Q19879108
Deepak Vinayak,Q29589031
Joseph Assaf,Q6281158
Dawn Fraser,Q229040
Dawn Fraser Swimming Pool,Q56051624
Anne Wills,Q4768893
David Cooper (immunologist),Q24682145
Kathryn Harby-Williams,Q6377048
John Hatzistergos,Q16193625
Phillip Thompson,Q64009045
Ronald Eric Johnstone,Q7364841
Roberta Shepherd,Q41799667
Suzanne Chambers,Q56233428
Shurlee Swain,Q55106278
Catherine Branson,Q5052554
Gillian Aldridge,Q5562186
Andrew Murray (Australian politician),Q4758092
John Sharp (Australian politician),Q6257427
Noel Kelly (rugby league),Q15485653
Robin Creyke,Q67222775
Geoffrey Burnstock,Q5534494
Brian Owler,Q18378958
Sever Sternhell,Q7457809
Susan M. Butler,Q55329619
Terri Cater,Q27058495
Susan Provan,Q54918107
Erica Smyth,Q18057058
San Thang,Q28949164
Jeremy Fisher (author),Q15486005
Paul Broughton,Q7149540
Keri Craig-Lee,Q50875121
Daryl Melham,Q5226210
John Marshall (swimmer),Q2301894
Ann Carr-Boyd,Q4766306
John B. Biggs,Q6219865
Richard Francis-Bruce,Q1969707
Michael Ebeid,Q6830064
Peter De Waal,Q64762923
Anne Warner (politician),Q4768873
Kathryn Toohey,Q30112690
M. C. Ricklefs,Q3272425
Ian Robinson (Australian politician),Q5982762
John McLaren (cricketer),Q16037824
Joe Tripodi,Q6212724
Cate Blanchett,Q80966
Michael Crouch,Q16093647
Ken Freeman (astronomer),Q6387641
Peter Gago,Q7174156
John Gandel,Q6234806
Alan Joyce (executive),Q4707007
Peter Klinken,Q28132587
Julian McMahon (barrister),Q19667062
Jacques Nasser,Q1678053
John Shine,Q12404787
Robert Tickner,Q7350396
Alex Zelinsky,Q4718044
Kay Goldsworthy,Q523318
Antony Green,Q4777207
Helen Herrman,Q46956609
James Hogan (businessman),Q6136145
Mo'onia Gerrard,Q6886099
Andrew Ford (composer),Q4756977
Ron Dyer,Q7363723
George Henry Bennett,Q5540423
Robert Spence (bishop),Q12069792
Darby McCarthy,Q5222273
Amanda Keller,Q4739661
Roger Noble,Q61951606
Jared Tallent,Q1728
George Williamson (Australian footballer),Q23621684
Kerry Sanderson,Q17402900
Glenn Stevens,Q1813984
Jan Adams (diplomat),Q22002995
Fran Baum,Q67231057
"John Bertrand (sailor, born 1946)",Q1699327
Carmel McLure,Q16889134
Tony Beddison,Q84390859
Hieu Van Le,Q5753361
Peter Lloyd (aviator),Q24706194
Raymond Finkelstein,Q7298776
Suzanne O'Reilly,Q17517283
Vivienne Thom,Q96575176
Lynn Rainbow,Q6709179
Tony Smibert,Q17198723
George Souris,Q5544706
Debbie Spillane,Q24570058
Colin Raston,Q24851642
Alan Stockdale,Q4707846
John Wegner,Q53095622
Nalini Joshi,Q6960912
Kevin Donnelly,Q76464990
Cheryl Edwardes,Q16145052
Elizabeth Finkel,Q5362772
Denis Evans,Q5257225
Kate Ceberano,Q6375418
Keith Payne,Q6384877
Sue Smith (politician),Q16150449
Lex Lasry,Q6537565
Elliot McAdam,Q5365527
Karen Mahlab,Q53870690
Bert Turner (politician),Q23765973
John Watkins (Australian politician),Q16186946
Stanton Welch,Q7600284
Brett Chandler,Q4962110
Rupert Myer,Q19655099
Monica Oliphant,Q6900035
Pip Pattison,Q18640515
Finn Pratt,Q19668248
John Douglas Story,Q6229923
Deborah Terry,Q77481287
Allan Luke,Q4730794
Stephen Simpson (professor),Q21062170
Dick Smith (entrepreneur),Q5273384
Peter Coleman,Q7173326
Peter Coleman-Wright,Q7173328
Bulent Hass Dellal,Q4996116
Lauren Jackson,Q270653
Julian Gardner (lawyer),Q6307168
Keith Vincent Garner,Q6385160
Susie Elelman,Q7649021
Kay Hull,Q6380209
Peter McMahon,Q7175814
Ken Shadie,Q3195086
"Matt Burke (rugby, born 1964)",Q3299684
Chris Maxwell (jurist),Q5107377
David Jacka,Q16199641
Geoff Gardner,Q5534869
John Sullivan (Australian politician),Q6259610
Nathan Efron,Q15429385
Kym Anderson,Q1795098
Judith Clements,Q17523861
Patrick Keane,Q7146911
John Trainer,Q6261131
Denis Walter,Q16186941
Tom Bathurst,Q7814902
Les Carlyon,Q6529306
Megan Clark,Q6808636
Richard Gibbs (biologist),Q17180615
Barry Jones (Australian politician),Q4864363
Des Ball,Q17198050
Deborah Cheetham,Q5248203
Anne Penfold Street,Q29650258
Steve Moneghetti,Q976074
Alexander Tzannes,Q4720269
Minoti Apte,Q43900835
Tony Benneworth,Q7821887
Eleanor Witcombe,Q16089804
Samina Yasmeen,Q7409464
Greg Bilton,Q18639131
Carl Vine,Q2269290
Maureen Wheeler,Q6792768
Tony Wheeler,Q3993327
Tony Wheeler,Q3993327
Patsy Wolfe,Q44880023
Tim Barrett (admiral),Q16152090
Nadia Badawi,Q56043551
Ziggy Switkowski,Q8071785
John So,Q926168
Graeme Koehne,Q1541323
Barry Ninham,Q28076272
Ingrid Scheffer,Q18687923
Michael Gawenda,Q6830549
Bradley Trevor Greive,Q4148979
Robert Hannaford,Q7345235
Hetty Johnston,Q15453153
Richard Colman,Q7324845
Barbara Caine,Q20676173
Caroline De Costa,Q66685240
Philip Cummins,Q18388162
Ernie Merrick,Q5394642
Stan Collard,Q7597591
Ray Warren,Q7298253
Marie Bashir,Q1897276
Judy Masters,Q6139055
Salvatore Zofrea,Q7406699
Denise Roberts,Q5257751
Denise Boyd,Q5257628
Clement Smith (Australian politician),Q21069652
Matt Welsh,Q1373529
Albie Thomas,Q4711319
James Thompson (VC),Q6144183
"Bill Turner (footballer, born 1912)",Q21070023
Dean Mildren,Q5246360
Patrick Bugden,Q7146168
Ron Haddrick,Q2892345
Gus Gilmore,Q5620669
James Crawford (jurist),Q1680223
Jill Ker Conway,Q1395966
Chris Baggoley,Q67231374
John Byrne (judge),Q6224229
Ron Clarke,Q549365
Robert Dickerson,Q7343530
Jennie George,Q6177982
Petro Georgiou,Q7178866
John Hopkins (conductor),Q6239824
Duncan Ironmonger,Q5314395
Ronnie Burns (singer),Q7365821
William Delafield Cook,Q8007738
Cadel Evans,Q190919
Andrew Lloyd (runner),Q4757779
John Lynch (New South Wales politician),Q18385372
Margaret Hunter (jurist),Q62112303
Don Wing,Q5293743
Richard Woldendorp,Q7330060
David Wotton,Q5241299
Alice Spigelman,Q59622064
Peter Steele (poet),Q18645861
Haddon Storey,Q17402525
Reginald Arnold,Q204263
David Llewellyn (Australian politician),Q5236684
Tony Hyams,Q7822617
Janet Powell,Q6153558
James Muecke,Q83615892
Wayne Harrison (director),Q7976307
Elisabeth Kirkby,Q5361491
Victor Kovalenko,Q20203069
Ann Mitchell (cricketer),Q16769613
Alice MacLennan,Q59229700
John Hardy (aviator),Q18719463
Ernie Bridge,Q5394375
Heather Butler,Q5693771
Phillip Toyne,Q20114368
Peter Jones (admiral),Q7175028
Joseph Paul Forgas,Q11274865
Alex George,Q2702267
Gareth Evans (politician),Q381902
Ian Frazer,Q930011
Robert Hill (Australian politician),Q773848
Stephen Hopper,Q2082700
Joan Kirner,Q3179594
Wayne Martin (judge),Q7976444
Peter Singer,Q211539
Ian Brusasco,Q5981044
Harry Butler,Q5667653
Piers Lane,Q4271262
Simon McKeon,Q7519329
Doug Jones (international arbitrator),Q16142774
Graeme Hugo,Q18925194
John Herron (Australian politician),Q6239095
Peter Carey (novelist),Q313254
Mary Crooks,Q74618383
Amanda Thane,Q16019585
Deb Butterworth,Q82654413
Bruce A. Fuhrer,Q4977034
Lisa Jackson Pulver,Q38545728
Susan Kiefel,Q7648065
John Anderson (Australian politician),Q3180912
Marie Coleman,Q47074364
Brian Ross Martin,Q4965183
Nick Warner,Q7028110
George Williams (lawyer),Q5546376
Ralph Willis,Q7288278
Ben Swane,Q83499459
Kerryn Phelps,Q6394699
John Carmichael (composer),Q6225212
Steve Smith (general),Q7613974
Adam Gilchrist,Q349516
James Halliday (wine),Q15490378
Dianne Hiles,Q16728548
Michael Hodgman,Q6831178
Roderick Weir Home,Q7356694
Martin Copley,Q6775193
Linda Dessau,Q6551523
Greig Pickhaver,Q5607286
Andrew Sayers,Q21097029
Hossein Valamanesh,Q15440269
John Mawurndjul,Q6247250
George Palmer (composer),Q5543177
Raymond Todd,Q16886148
Anne Jones (writer),Q4768481
Lewis Morley,Q3237300
Tony Miller (rugby union),Q7822983
Patrick McGorry,Q7147153
Gordon Parker (psychiatrist),Q5585645
Michael Rozenes,Q6834011
Tony Rundle,Q2442810
Vicki Sara,Q38263243
John von Doussa,Q6265936
Mark Binskin,Q6766742
Robert Bell (artist and curator),Q58416759
Valerie Beral,Q4793379
Steve Bracks,Q3498865
Harold Mitchell (media buyer),Q16106014
Michael McRobbie,Q6832771
James Angus (scientist),Q28094330
John-Michael Howson,Q6217351
Cliff Green,Q2979051
John Green (Australian politician),Q6236145
Alison McCusker,Q45739587
Ian Leslie,Q5982038
Alan Cadman,Q4706304
Neil Betts,Q28733608
Hugh Edwards (journalist),Q11330275
Helen Cutler,Q55957518
Richard Schodde,Q534418
T. J. Ryan,Q1396927
Jack Bendat,Q16730097
Tate Adams,Q7687944
John Hartley (academic),Q6238065
Clive Hamilton,Q1101957
David Hamill,Q5234670
Arie Freiberg,Q4790332
Geoffrey Eames,Q11699610
Kurt Lambeck,Q6446842
Bruce Edward Hobbs,Q4977431
Irene Gleeson,Q6069028
Peter Underwood,Q982736
Mary E. White,Q21598045
John Mansfield (judge),Q6246647
Pam Kilborn,Q437288
John McGrath (Victorian politician),Q16105163
John Messara,Q17037422
Karen Louise Wilson,Q5958129
Margaret Christensen,Q6759270
Bruce Clarke (musician),Q15501700
John Anderson (philosopher),Q3296918
Giovanni Antonaglia,Q5563667
David Boyd (artist),Q3017553
John Ralston (baritone),Q16029239
Arthur Sinodinos,Q4800293
Jim Bishop (doctor),Q96265046
John Bathersby,Q1699120
Peter Baume,Q7172714
David Bennett (barrister),Q5231308
Geoff Gallop,Q3046134
Reg Grundy,Q2137228
John Howard,Q51330
Rob Atkinson (surgeon),Q16113938
Elizabeth Elliott (paediatrician),Q61783587
Es Downey,Q18353965
Charles Birch,Q454195
Dorothy Buckland-Fuller,Q61060144
Mollie Campbell-Smith,Q55440652
Paul Clitheroe,Q7149875
Peter Corrigan,Q7173396
Albert Dadon,Q4710001
Tania de Jong,Q4994279
James Kemsley,Q6137209
Richard Lane (writer),Q2150058
Tracy Caulkins,Q238782
Peter Wilkinson (drummer),Q7177714
Max Graham (footballer),Q19873876
John Armitage (politician),Q6219377
James Purcell (politician),Q19519703
Jack Newton (footballer),Q20640925
Wolfgang Sievers,Q2591448
Anne Phelan,Q4768717
Henk Vogels,Q1035313
Alan Seymour,Q2636835
Jim Stynes,Q2693545
Charmaine Solomon,Q5086424
Perry Crosswhite,Q3900084
Raelene Boyle,Q268123
Bob Brown (Australian Labor politician),Q4931941
Barry Cohen,Q4864101
Jennifer Strauss,Q15460933
Naguib Kanawati,Q3335124
Dennis Trewin,Q5259016
Alex Chernov,Q259774
Ashley Cooper (tennis),Q712208
Anne Kelso,Q47502196
Iain McCalman,Q5980536
Neil Mitchell (radio presenter),Q6989052
Mark Paterson (public servant),Q16199446
Jill Roe,Q28343975
Don Talbot,Q5293593
Mark Evans (general),Q6767549
Peter Leahy,Q7175395
Victor Smorgon,Q7926352
Ross Adler,Q7369168
Peter Carnley,Q7173183
Margaret McMurdo,Q16186367
Anne Lynch (artist),Q28047779
Ron Evans,Q1696151
Bert Flugelman,Q1574668
"Bela ""Bert"" Grof",Q4881758
John Yovich,Q6265252
Les Murray (broadcaster),Q6529770
Peter Patmore,Q7176310
Ralph Doubell,Q918290
Steve Gilmore,Q5795306
John Coates (sports administrator),Q16135744
David de Kretser,Q1177366
Donald McDonald (ABC chairperson),Q5294830
Margaret Olley,Q3298751
Shane Stone,Q2276874
Margaret Beazley,Q6759174
Julie Campbell (vascular biologist),Q27995816
Rosemary Follett,Q1396349
Michael Bryce,Q6828901
Jim Clarko,Q6194213
Greg Combet,Q11701393
Keith De Lacy,Q16105316
Colleen McCullough,Q228801
Terry Moran (public servant),Q7704819
Olivia Newton-John,Q185165
Richard Searby,Q16105205
Ian Braid,Q16096878
David Brockhoff,Q3017574
Ash Power,Q4804422
Jack Absalom,Q6110939
Eric Charlton,Q5386261
Jack Denham,Q6112084
"Julie McDonald (swimmer, born 1970)",Q1109903
Ernie Page (politician),Q5394675
Joan Rose Dwyer,Q62168294
Richard Shine,Q7329022
Jane Singleton,Q78959415
Jim Petrich,Q6197479
Howard Olney,Q5920535
Rachel Ward,Q271948
Saxon White,Q7428851
Michael Wilson (Australian politician),Q6835383
Terry Underwood,Q28921850
Tetsuya Wakuda,Q7706963
Tracey Wickham,Q546225
Geoff Mack,Q5534215
Tom Tehan,Q7817792
Bryan Brown,Q363659
David Irvine (diplomat),Q5235368
Graeme Jameson,Q21598168
Stanley Jones (judge),Q58826810
Jane Mathews,Q42497555
Allan Moss,Q4730873
Jocelyn Newman,Q6207164
Diana Laidlaw,Q5271209
Bruce Lloyd,Q4977890
Robert Clancy (doctor),Q7248186
Brian Davies (rugby league),Q4963522
Stella Bywaters,Q55825496
Douglas Daft,Q5301401
Marilyn Warren,Q6763646
Charlie Bell (businessman),Q321864
Freda Briggs,Q23747844
Samuel Berkovic,Q7410915
Peter Morris (surgeon),Q671591
John Ryan (diplomat),Q20050739
John Douglas Morrison,Q95605901
Margot Vowles,Q71508160
Ross McLean (politician),Q7369513
Nick Enright,Q3339739
George Gregan,Q1507452
John Sydney Haines,Q6259857
Clifford Harry Thompson,Q17155856
Margaret Ray (Australian politician),Q17386614
Harry Frederick Recher,Q5668930
Judi Connelli,Q6302799
Nancy Wake,Q234134
Adele Green,Q40673023
Leo Hielscher,Q6523829
James Killen,Q6137315
Hugh Stretton,Q15462668
Raymond Apple (rabbi),Q7298564
Joan Bielski,Q47037281
John Chapman (general),Q2659517
Helen Nugent,Q5702915
Mahla Pearlman,Q18002738
Margaret Reid (politician),Q6759831
Cathy McGowan (politician),Q16185462
Bob Hetherington,Q4932780
Iris Burgoyne,Q21997795
Jane Edmanson,Q58032731
Hayley Lewis,Q274293
Jacqueline Mason,Q6120159
Steve Waugh,Q735048
Max Howell (educator),Q16019710
Bob Hammond,Q4932674
Basil Scarsella,Q4867255
Ron Radford,Q7364289
Tom Lewis (author),Q7816580
Neville Thiele,Q2638527
Norm O'Neill,Q3343706
Jillian Broadbent,Q16123989
Doug Anthony,Q1251694
Roderick Carnegie,Q7356597
Richard Court,Q3305274
Michael Field (politician),Q6830287
Margaret Jackson,Q6759554
Primrose Potter,Q16091974
Bob Baxt,Q4931763
Robert Brooking,Q16727677
Geraldine Doogue,Q5549739
Thancoupie,Q23806338
Andrea Hull,Q4755125
Ken Inglis,Q6387850
Dean Jaensch,Q5246242
Terry Jackman,Q16935033
Toni Lamond,Q7821292
John Mitchell (administrator),Q6248996
Paula Duncan,Q9057059
Robert Champion de Crespigny,Q7342854
John Doyle (judge),Q6230056
Herb Elliott,Q472503
Kenneth Hayne,Q6390196
Kay Hallahan,Q6380197
George Szekeres,Q177504
George Szekeres Medal,Q5545011
Australian Mathematical Society,Q781585
Ian Wilson (politician),Q5983284
Mike Ahern (Australian politician),Q3313187
Ronald Drayton Brown,Q28076403
Peter Leahy,Q7175395
Beryl Nashar,Q26702224
Clifford Possum Tjapaltjarri,Q440221
Mike Willesee,Q6849275
Alan Coates,Q20084206
Anne Hepburn,Q27678467
Edgar Britt,Q5337142
Ray Hadley,Q7297571
Nicholas Euclid,Q7025355
Pinchus Feldman,Q7194945
Bruce Peake,Q21095596
Gwyn Hanssen Pigott,Q5623774
George Bornemissza,Q5537113
David Ashton (botanist),Q5230887
Ian Lowe,Q5982090
Dianne Yerbury,Q5271711
Elizabeth Anne Reid,Q5362323
James Dunn (diplomat),Q28016690
Judith Whitworth,Q55462162
Janine Haines,Q6154549
Hilary McPhee,Q5761026
Jackie Huggins,Q6116415
Jim Carlton,Q6194062
John Yu,Q9077601
John Mathwin,Q6247158
Dick Kimber,Q30086669
Jack Lockett,Q4357255
Mary Sawyer (tennis),Q17302233
Kevin Scarce,Q1740252
John Treloar (athlete),Q3137457
Peter Thomson (golfer),Q1359387
Michael Morgan (rower),Q3305171
Doug Lowe (Australian politician),Q5300679
Sam Calder,Q7407281
Don Cameron (Queensland Liberal politician),Q5294885
Patrick Corrigan (businessman),Q16092601
Wayne Denis Hall,Q7976180
Paul Symon,Q7153896
Murray Rose,Q362362
Sally Thomas,Q7405314
Beryl Grant,Q41791927
Richard Scotton,Q7328940
Geoffrey Wickham,Q5534973
James Roland Wood,Q6142377
Paul de Jersey,Q7154577
Robyn Archer,Q7353572
David Bennett (barrister),Q5231308
John Carter (endocrinologist),Q6225351
Reginald Marr,Q20679481
John Maclean (sportsperson),Q16196573
Darryl Smith (cricketer),Q5225454
David Smorgon,Q5239914
Bill Brown (cricketer),Q2667644
John Winneke,Q6264621
William Cox (governor),Q2578355
Marcia Neave,Q6757130
Cheryl Praeger,Q1070533
George Paciullo,Q5543154
Evan Adermann,Q5415311
Michael Baume,Q6828506
Ian Porter (politician),Q5982611
Geoff Henke,Q5534160
Joan Hall,Q6205085
James Semple Kerr,Q18346486
James Harrison (blood donor),Q2086893
Gracia Baylor,Q5591492
Guy Warren (artist),Q5622665
Bud Tingwell,Q734495
Michael Fitzgerald Page,Q18635469
David Dicks,Q1174223
Marlene Mathews,Q443491
Neale Lavis,Q6984227
Lionel Cox (cyclist),Q569106
Ronald Crawford (racewalker),Q7364767
Leneen Forde,Q435025
Lorraine Crapp,Q261681
Eric Gross,Q5386622
Richard Cleaver,Q7324779
Wilma Oram,Q8022671
George Seddon (academic),Q5544392
Ken Gillespie,Q6387677
Phillip Playford,Q32539655
Jim Barry (general),Q27983382
Elizabeth Burchill,Q14954676
Yvonne Cossart,Q89444380
Rex Stevenson,Q18207776
A. W. Martin,Q62102518
Don Aitkin,Q5292141
Weston Bate,Q7989400
Geoff Wilson (professor),Q5534384
Richard Smallwood (doctor),Q96250896
Andrew Peacock,Q374949
Wal Murray,Q7961245
Patrick Quilty,Q22253117
Sophie Charlotte Ducker,Q21510988
Sid Atkinson,Q722838
Morris West,Q471021
Nan Giese,Q90087689
Peter Andry,Q7172534
Glenn Murcutt,Q333509
Roger McNeice,Q20716208
Mavis Thorpe Clark,Q24284530
Helen Zerefos,Q5703439
Ken Wyatt,Q3195101
Ron Tucker,Q7364488
John Cohen (Australian politician),Q17514401
Clifton Hoeben,Q5133249
Geoff Tracey,Q19060983
Edgar Riek,Q5817691
John Zillman,Q6265327
Percy Allan,Q7167221
John Kerr (pathologist),Q1700021
Mick Doohan,Q436025
Margaret Court,Q202342
Patricia Kailis,Q16095274
Michael Jeffery,Q355053
Jocelynne Scutt,Q6207203
George Miller (filmmaker),Q446960
Fiona Stanley,Q1653736
Elizabeth Evatt,Q5362737
Denise Bradley,Q5257684
David Flint,Q5233697
Frank Brennan (priest),Q5478115
Diana Horvath,Q96274212
Anthony William Linnane,Q21165256
Michael V. Drake,Q6835037
Nick Dondas,Q15485299
James Hamlyn Willis,Q6135471
John Grey (Australian general),Q6236320
Ivon Wardle,Q20273952
Don Livingstone,Q5293011
Eva Cox,Q5415028
Wenten Rubuntja,Q1718537
Celia Rosser,Q5058019
Frank McNamara (RAAF officer),Q531573
Neal Blewett,Q6984063
Kyrra Grunnsund,Q6452570
Mike Kelly (Australian politician),Q3857414
James Burrows Thomas,Q6130555
Richard McGarvie,Q2150186
Peter Graham (fighter),Q7174332
Peter Wilenski,Q16013339
Colin Bond,Q5144898
Ronald Strahan,Q61465784
Spencer Grace,Q18392357
Pauline Neura Reilly,Q7155064
Frank Gardner (racing driver),Q172539
Babette Stephens,Q4837817
Joan Phipson,Q509847
Kerry Walker,Q16267452
William T. Cooper,Q2580765
Eilene Hannan,Q18330765
Edmund Capon,Q5339363
Rosalie Gascoigne,Q7367191
John Singleton (Australian entrepreneur),Q6258000
Lucy Napaljarri Kennedy,Q6698435
Kevin Bacon (equestrian),Q6395762
Adrian Charles,Q85320097
James Grant (Australian bishop),Q16206302
Rene Hardenbol,Q19832418
Louise Sauvage,Q432941
Bruce Bowley,Q23900847
Lin Onus,Q1825603
Geoff Shaw (Aboriginal leader),Q73952061
Robert Southey (businessman),Q20642555
Betty Burstall,Q15992823
James Fairfax,Q6133747
Louis Kahan,Q6687530
Jim Gasteen,Q77357535
Bruce Wallrodt,Q4978414
Donna Burns,Q19871784
John Brown (Australian politician),Q6223436
Jodi Willis-Roberts,Q6207921
Sandra Yaxley,Q7416805
Brian McNicholl,Q4964747
Ann Moyal,Q61974629
Donna Smith (athlete),Q5296466
Joshua Hofer,Q19832422
Ralph Slatyer,Q7288094
Michael Kailis,Q15438968
Ron Penny,Q79447005
Bill Wentworth,Q6236225
Tom Uren,Q7817908
